"stem.age","genus"
7.003781,"Ostrya"
7.003781,"Corylus"
80.296806,"Morella"
64.4,"Rhoiptelea"
17.388588,"Engelhardia"
9.970325,"Juglans"
9.970325,"Carya"
45.198468,"Coriaria"
45.198468,"Corynocarpus"
23.105594,"Thladiantha"
17.971667,"Trichosanthes"
17.971667,"Cucumis"
30.685039,"Gynostemma"
50.736319,"Tetrameles"
48.954354,"Datisca"
23.567302,"Hillebrandia"
23.567302,"Begonia"
56,"Leea"
31.12869,"Cissus"
28.363017,"Tetrastigma"
28.363017,"Vitis"
32.462976,"Ampelopsis"
26.394558,"Tetracera"
23.01377,"Curatella"
23.01377,"Dillenia"
120.222764,"Gunnera"
10.854431,"Pachysandra"
10.854431,"Sarcococca"
39.400039,"Buxus"
83.42186,"Nelumbo"
9.1229,"Hakea"
9.1229,"Grevillea"
25.154824,"Helicia"
21.061734,"Macadamia"
21.061734,"Heliciopsis"
65.626372,"Platanus"
66.000001,"Sabia"
66.000001,"Meliosma"
24.794472,"Decaisnea"
1.170263,"Holboellia"
1.170263,"Stauntonia"
3.05647,"Akebia"
34.883938,"Sargentodoxa"
28.853858,"Diploclisia"
21.776237,"Eleutharrhena"
21.496402,"Stephania"
21.496402,"Cocculus"
48.274316,"Megaleranthis"
17.613342,"Dichocarpum"
5.70924,"Thalictrum"
5.70924,"Anemonella"
45.80117,"Clematis"
45.80117,"Ranunculus"
20.393619,"Aconitum"
20.393619,"Delphinium"
63.348445,"Hydrastis"
2.461772,"Berberis"
2.461772,"Mahonia"
46.173988,"Gymnospermium"
46.173988,"Nandina"
54.77008,"Epimedium"
12.725266,"Sinopodophyllum"
10.420775,"Podophyllum"
10.420775,"Dysosma"
37.588794,"Capnoides"
33.759239,"Cysticapnos"
33.759239,"Corydalis"
87.405235,"Hypecoum"
53.70782,"Eschscholzia"
39.396122,"Sanguinaria"
29.630488,"Macleaya"
29.630488,"Chelidonium"
41.400454,"Papaver"
41.400454,"Argemone"
112.13321,"Euptelea"
154.228814,"Acorus"
130.567631,"Tofieldia"
35.124222,"Lemna"
19.130243,"Wolffia"
19.130243,"Wolffiella"
44.267239,"Spirodela"
16.677216,"Rhaphidophora"
16.677216,"Spathiphyllum"
44.722744,"Lasia"
35.47307,"Schismatoglottis"
34.957308,"Epipremnum"
34.957308,"Dieffenbachia"
21.569347,"Pistia"
17.047913,"Colocasia"
13.73109,"Typhonium"
13.73109,"Pinellia"
93.253469,"Aponogeton"
87.469994,"Scheuchzeria"
66.158919,"Maundia"
39.782097,"Posidonia"
35.777676,"Cymodocea"
35.777676,"Ruppia"
16.698418,"Stuckenia"
16.698418,"Potamogeton"
22.249139,"Phyllospadix"
22.249139,"Zostera"
73.559592,"Triglochin"
36.666834,"Elodea"
18.627875,"Blyxa"
18.627875,"Ottelia"
72.472838,"Najas"
18.92596,"Enhalus"
18.92596,"Thalassia"
97.465787,"Butomus"
63.359842,"Alisma"
55.713822,"Limnocharis"
55.713822,"Sagittaria"
52.815829,"Acanthochlamys"
52.815829,"Xerophyta"
39.756082,"Croomia"
39.756082,"Stemona"
100.962596,"Sciaphila"
8.580172,"Ludovia"
8.580172,"Carludovica"
26.971971,"Freycinetia"
26.971971,"Pandanus"
110.935241,"Burmannia"
67.649755,"Dioscorea"
67.649755,"Tacca"
41.281654,"Metanarthecium"
41.281654,"Aletris"
91.386214,"Campynema"
11.715252,"Bomarea"
11.715252,"Alstroemeria"
42.74524,"Luzuriaga"
15.211012,"Iphigenia"
13.720425,"Gloriosa"
13.720425,"Colchicum"
24.928384,"Disporum"
75.058174,"Petermannia"
14.191798,"Rhipogonum"
3.455154,"Philesia"
3.455154,"Lapageria"
45.121642,"Smilax"
10.517486,"Notholirion"
7.798325,"Lilium"
7.798325,"Fritillaria"
9.493788,"Veratrum"
9.493788,"Melanthium"
38.616438,"Xerophyllum"
14.47444,"Paris"
14.47444,"Trillium"
9.793218,"Helonias"
9.793218,"Heloniopsis"
127.020854,"Petrosavia"
114.12403,"Apostasia"
111.925303,"Vanilla"
37.025796,"Cypripedium"
27.493029,"Phragmipedium"
27.493029,"Paphiopedilum"
91.818929,"Epipogium"
91.81893,"Neottia"
6.180061,"Elleanthus"
6.180061,"Sobralia"
14.807564,"Bletilla"
12.262222,"Pleione"
12.262222,"Dendrobium"
24.632127,"Calanthe"
